ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
13,Delray Beach,Delray Beach Open,23/2/2017,ATP250,Outdoor,Hard,2nd Round,3,Young D.,Fritz T.,69,112,726,516,4,6,6,3,6,4,,,,,2,1,Completed,1.66,2.1,1.75,1.92,1.67,2.1,1.81,2.12,1.81,2.15,1.74,2.06
13,Delray Beach,Delray Beach Open,24/2/2017,ATP250,Outdoor,Hard,2nd Round,3,Del Potro J.M.,Dzumhur D.,42,79,1020,662,7,6,4,6,6,3,,,,,2,1,Completed,1.11,6.5,1.12,5,1.12,6,1.14,6.69,1.14,7.25,1.11,6.25
13,Delray Beach,Delray Beach Open,24/2/2017,ATP250,Outdoor,Hard,Quarterfinals,3,Young D.,Darcis S.,69,57,726,842,,,,,,,,,,,,,Walkover,2.1,1.66,,,,,2.15,1.8,2.15,1.8,2.09,1.85
13,Delray Beach,Delray Beach Open,24/2/2017,ATP250,Outdoor,Hard,Quarterfinals,3,Sock J.,Johnson S.,21,26,1855,1370,6,4,7,6,,,,,,,2,0,Completed,1.4,2.75,1.4,2.7,1.44,2.75,1.47,2.94,1.47,3,1.43,2.77
13,Delray Beach,Delray Beach Open,24/2/2017,ATP250,Outdoor,Hard,Quarterfinals,3,Raonic M.,Edmund K.,4,49,4930,898,4,6,6,3,6,4,,,,,2,1,Completed,1.16,5,1.17,4.25,1.2,4.5,1.18,5.8,1.2,5.9,1.17,4.98
13,Delray Beach,Delray Beach Open,25/2/2017,ATP250,Outdoor,Hard,Quarterfinals,3,Del Potro J.M.,Querrey S.,42,35,1020,1135,7,5,7,5,,,,,,,2,0,Completed,1.3,3.4,1.3,3.2,1.33,3.4,1.37,3.45,1.37,3.5,1.32,3.32
13,Delray Beach,Delray Beach Open,25/2/2017,ATP250,Outdoor,Hard,Semifinals,3,Sock J.,Young D.,21,69,1855,726,6,4,7,6,,,,,,,2,0,Completed,1.16,5,1.22,3.8,1.22,4.33,1.22,5.09,1.25,5.09,1.2,4.48
13,Delray Beach,Delray Beach Open,26/2/2017,ATP250,Outdoor,Hard,Semifinals,3,Raonic M.,Del Potro J.M.,4,42,4930,1020,6,3,7,6,,,,,,,2,0,Completed,1.61,2.3,1.62,2.15,1.67,2.2,1.62,2.49,1.67,2.5,1.62,2.29
13,Delray Beach,Delray Beach Open,26/2/2017,ATP250,Outdoor,Hard,The Final,3,Sock J.,Raonic M.,21,4,1855,4930,,,,,,,,,,,,,Walkover,3,1.4,2.8,1.38,3,1.4,3.06,1.44,3.2,1.44,2.99,1.38
14,Marseille,Open 13,20/2/2017,ATP250,Indoor,Hard,1st Round,3,Youzhny M.,Tsitsipas S.,87,205,631,268,6,1,4,6,7,5,,,,,2,1,Completed,1.57,2.25,1.55,2.25,1.62,2.2,1.68,2.3,1.7,2.4,1.61,2.27
14,Marseille,Open 13,20/2/2017,ATP250,Indoor,Hard,1st Round,3,Jaziri M.,Kuznetsov An.,47,61,908,790,6,3,6,3,,,,,,,2,0,Completed,2.5,1.5,2.35,1.52,2.25,1.57,2.57,1.56,2.57,1.6,2.44,1.54
14,Marseille,Open 13,20/2/2017,ATP250,Indoor,Hard,1st Round,3,Simon G.,Khachanov K.,23,48,1495,904,4,6,7,5,6,3,,,,,2,1,Completed,1.36,3,1.33,3,1.36,3,1.34,3.5,1.39,3.5,1.35,3.14
14,Marseille,Open 13,21/2/2017,ATP250,Indoor,Hard,1st Round,3,Struff J.L.,Chardy J.,62,77,786,670,6,3,7,5,,,,,,,2,0,Completed,1.72,2,1.82,1.82,1.91,1.91,1.83,2.07,1.91,2.07,1.82,1.95
14,Marseille,Open 13,21/2/2017,ATP250,Indoor,Hard,1st Round,3,Marchenko I.,Rublev A.,93,111,604,518,6,1,7,6,,,,,,,2,0,Completed,2.2,1.61,2.05,1.65,2.2,1.67,2.33,1.67,2.4,1.68,2.24,1.62
14,Marseille,Open 13,21/2/2017,ATP250,Indoor,Hard,1st Round,3,Bedene A.,Mathieu P.H.,102,101,577,578,3,6,6,1,6,4,,,,,2,1,Completed,1.5,2.5,1.52,2.3,1.57,2.38,1.6,2.47,1.62,2.6,1.54,2.45
14,Marseille,Open 13,21/2/2017,ATP250,Indoor,Hard,1st Round,3,Gombos N.,Donskoy E.,128,117,455,491,6,1,6,1,,,,,,,2,0,Completed,2.1,1.66,2.1,1.65,2.1,1.73,2.14,1.78,2.4,1.78,2.11,1.71
14,Marseille,Open 13,21/2/2017,ATP250,Indoor,Hard,1st Round,3,Benneteau J.,Shapovalov D.,120,255,482,205,7,5,6,4,,,,,,,2,0,Completed,1.2,4.33,1.2,4,1.25,4,1.25,4.36,1.25,4.4,1.22,4.14
14,Marseille,Open 13,21/2/2017,ATP250,Indoor,Hard,1st Round,3,Stakhovsky S.,Vesely J.,107,55,535,848,6,2,6,4,,,,,,,2,0,Completed,2,1.72,1.88,1.8,1.91,1.91,1.9,1.99,2,1.99,1.9,1.87
14,Marseille,Open 13,21/2/2017,ATP250,Indoor,Hard,1st Round,3,Gasquet R.,Haase R.,19,58,1875,833,6,7,6,3,6,2,,,,,2,1,Completed,1.2,4.33,1.2,4,1.2,4.33,1.23,4.64,1.24,4.64,1.21,4.29
14,Marseille,Open 13,21/2/2017,ATP250,Indoor,Hard,1st Round,3,Mahut N.,Zverev A.,54,18,850,1895,7,6,7,6,,,,,,,2,0,Completed,4,1.22,3.5,1.25,3.75,1.29,4.02,1.28,4.02,1.3,3.76,1.26
14,Marseille,Open 13,22/2/2017,ATP250,Indoor,Hard,1st Round,3,Medvedev D.,Paire B.,64,41,779,1040,5,7,7,5,7,6,,,,,2,1,Completed,1.72,2,1.8,1.9,1.73,2,1.8,2.11,1.8,2.11,1.77,2.01
14,Marseille,Open 13,22/2/2017,ATP250,Indoor,Hard,2nd Round,3,Simon G.,Benneteau J.,23,120,1495,482,6,2,2,6,6,3,,,,,2,1,Completed,1.33,3.25,1.33,3,1.33,3.4,1.34,3.61,1.36,3.61,1.32,3.33
14,Marseille,Open 13,22/2/2017,ATP250,Indoor,Hard,2nd Round,3,Gasquet R.,Youzhny M.,19,87,1875,631,7,5,6,2,,,,,,,2,0,Completed,1.14,5.5,1.12,5,1.12,5.5,1.15,6.34,1.18,6.34,1.14,5.4
14,Marseille,Open 13,22/2/2017,ATP250,Indoor,Hard,2nd Round,3,Kyrgios N.,Jaziri M.,16,47,2165,908,6,4,6,2,,,,,,,2,0,Completed,1.18,4.5,1.16,4.5,1.22,4.33,1.22,4.93,1.22,5.25,1.18,4.7
14,Marseille,Open 13,22/2/2017,ATP250,Indoor,Hard,2nd Round,3,Pouille L.,Bedene A.,17,102,2131,577,7,5,7,5,,,,,,,2,0,Completed,1.5,2.5,1.52,2.3,1.53,2.5,1.51,2.75,1.57,2.8,1.49,2.57
14,Marseille,Open 13,23/2/2017,ATP250,Indoor,Hard,2nd Round,3,Medvedev D.,Struff J.L.,64,62,779,786,6,3,3,6,7,6,,,,,2,1,Completed,1.72,2,1.72,1.95,1.8,2,1.85,2.07,1.85,2.17,1.76,2.03
14,Marseille,Open 13,23/2/2017,ATP250,Indoor,Hard,2nd Round,3,Gombos N.,Mahut N.,128,54,455,850,7,5,3,6,7,6,,,,,2,1,Completed,3,1.36,2.9,1.35,3,1.4,3.46,1.36,3.46,1.4,3.14,1.35
14,Marseille,Open 13,23/2/2017,ATP250,Indoor,Hard,2nd Round,3,Tsonga J.W.,Marchenko I.,11,93,3230,604,6,3,6,3,,,,,,,2,0,Completed,1.08,8,1.08,6.25,1.06,8,1.09,9.28,1.09,9.5,1.08,8.02
14,Marseille,Open 13,23/2/2017,ATP250,Indoor,Hard,2nd Round,3,Monfils G.,Stakhovsky S.,12,107,3145,535,6,1,6,4,,,,,,,2,0,Completed,1.16,5,1.15,4.75,1.17,5,1.2,5.16,1.2,5.2,1.18,4.79
14,Marseille,Open 13,24/2/2017,ATP250,Indoor,Hard,Quarterfinals,3,Kyrgios N.,Gombos N.,16,128,2165,455,6,3,6,3,,,,,,,2,0,Completed,1.1,7,1.12,5,1.1,7,1.11,8.72,1.14,9.25,1.1,7.15
14,Marseille,Open 13,24/2/2017,ATP250,Indoor,Hard,Quarterfinals,3,Tsonga J.W.,Simon G.,11,23,3230,1495,6,4,6,1,,,,,,,2,0,Completed,1.36,3,1.38,2.8,1.4,3,1.38,3.41,1.43,3.41,1.38,3.02
14,Marseille,Open 13,24/2/2017,ATP250,Indoor,Hard,Quarterfinals,3,Pouille L.,Medvedev D.,17,64,2131,779,4,6,6,1,6,4,,,,,2,1,Completed,1.44,2.62,1.45,2.45,1.53,2.5,1.53,2.74,1.56,2.74,1.5,2.54
14,Marseille,Open 13,24/2/2017,ATP250,Indoor,Hard,Quarterfinals,3,Gasquet R.,Monfils G.,19,12,1875,3145,6,7,6,4,6,2,,,,,2,1,Completed,2.37,1.53,2.35,1.5,2.25,1.62,2.46,1.63,2.5,1.67,2.33,1.59
14,Marseille,Open 13,25/2/2017,ATP250,Indoor,Hard,Semifinals,3,Tsonga J.W.,Kyrgios N.,11,16,3230,2165,7,6,2,6,6,4,,,,,2,1,Completed,1.8,2,1.72,1.95,1.8,2,1.88,2.05,1.88,2.12,1.8,1.99
14,Marseille,Open 13,25/2/2017,ATP250,Indoor,Hard,Semifinals,3,Pouille L.,Gasquet R.,17,19,2131,1875,7,5,6,3,,,,,,,2,0,Completed,2.75,1.44,2.55,1.45,2.8,1.36,2.9,1.48,2.9,1.5,2.73,1.45
14,Marseille,Open 13,26/2/2017,ATP250,Indoor,Hard,The Final,3,Tsonga J.W.,Pouille L.,11,17,3230,2131,6,4,6,4,,,,,,,2,0,Completed,1.33,3.4,1.33,2.9,1.36,3.25,1.36,3.5,1.4,3.5,1.34,3.23
15,Rio de Janeiro,Rio Open,20/2/2017,ATP500,Outdoor,Clay,1st Round,3,Lajovic D.,Bagnis F.,97,82,597,657,6,4,6,4,,,,,,,2,0,Completed,1.66,2.1,1.65,2.1,1.73,2.1,1.76,2.17,1.77,2.17,1.71,2.1
15,Rio de Janeiro,Rio Open,20/2/2017,ATP500,Outdoor,Clay,1st Round,3,Ruud C.,Dutra Silva R.,208,439,258,92,6,3,6,4,,,,,,,2,0,Completed,3,1.36,2.65,1.4,2.75,1.44,3.1,1.41,3.1,1.44,2.93,1.39
15,Rio de Janeiro,Rio Open,20/2/2017,ATP500,Outdoor,Clay,1st Round,3,Schwartzman D.,Olivo R.,51,92,865,605,6,2,3,6,6,4,,,,,2,1,Completed,1.2,4.33,1.17,4.25,1.22,4.33,1.22,4.85,1.22,5,1.2,4.46
15,Rio de Janeiro,Rio Open,20/2/2017,ATP500,Outdoor,Clay,1st Round,3,Kicker N.,Cecchinato M.,123,194,472,288,7,5,6,0,,,,,,,2,0,Completed,1.83,1.83,1.9,1.8,1.91,1.91,,,2.06,1.91,1.91,1.85
15,Rio de Janeiro,Rio Open,20/2/2017,ATP500,Outdoor,Clay,1st Round,3,De Greef A.,Cuevas P.,138,30,421,1290,6,3,3,6,7,5,,,,,2,1,Completed,5,1.16,4.75,1.15,4.5,1.17,5.09,1.2,5.1,1.21,4.75,1.18
15,Rio de Janeiro,Rio Open,21/2/2017,ATP500,Outdoor,Clay,1st Round,3,Carballes Baena R.,Sousa J.,132,39,446,1055,6,3,6,1,,,,,,,2,0,Completed,3.25,1.33,2.8,1.35,3.25,1.33,3.63,1.33,3.63,1.39,3.17,1.35
15,Rio de Janeiro,Rio Open,21/2/2017,ATP500,Outdoor,Clay,1st Round,3,Monteiro T.,Elias G.,85,86,645,641,2,6,7,6,6,4,,,,,2,1,Completed,1.66,2.1,1.7,2,1.73,2.1,1.86,2.03,1.86,2.22,1.7,2.11
15,Rio de Janeiro,Rio Open,21/2/2017,ATP500,Outdoor,Clay,1st Round,3,Fognini F.,Robredo T.,45,471,955,82,6,2,6,4,,,,,,,2,0,Completed,1.44,2.62,1.38,2.8,1.53,2.5,1.43,3.01,1.53,3.01,1.44,2.71
15,Rio de Janeiro,Rio Open,21/2/2017,ATP500,Outdoor,Clay,1st Round,3,Ramos-Vinolas A.,Robert S.,25,80,1400,660,6,2,6,0,,,,,,,2,0,Completed,1.16,5,1.2,4,1.2,4.5,1.2,5.18,1.22,5.18,1.18,4.67
15,Rio de Janeiro,Rio Open,21/2/2017,ATP500,Outdoor,Clay,1st Round,3,Delbonis F.,Lorenzi P.,52,40,860,1052,4,6,6,1,6,4,,,,,2,1,Completed,1.44,2.62,1.48,2.45,1.5,2.62,1.48,2.84,1.53,2.84,1.47,2.64
15,Rio de Janeiro,Rio Open,21/2/2017,ATP500,Outdoor,Clay,1st Round,3,Carreno Busta P.,Souza J.,24,131,1495,449,6,3,6,2,,,,,,,2,0,Completed,1.12,6,1.16,4.25,1.17,5,1.15,6.19,1.18,6.19,1.15,5.26
15,Rio de Janeiro,Rio Open,21/2/2017,ATP500,Outdoor,Clay,1st Round,3,Zeballos H.,Berlocq C.,73,66,686,746,6,2,6,3,,,,,,,2,0,Completed,2.37,1.53,2.45,1.48,2.5,1.53,2.55,1.57,2.62,1.57,2.48,1.52
15,Rio de Janeiro,Rio Open,21/2/2017,ATP500,Outdoor,Clay,1st Round,3,Bellucci T.,Nishikori K.,76,5,676,4730,6,4,6,3,,,,,,,2,0,Completed,3.75,1.25,3.5,1.22,3.75,1.29,4.22,1.26,4.45,1.3,3.89,1.25
15,Rio de Janeiro,Rio Open,21/2/2017,ATP500,Outdoor,Clay,1st Round,3,Dolgopolov O.,Ferrer D.,50,29,875,1310,6,4,6,4,,,,,,,2,0,Completed,2.2,1.61,2.35,1.52,2.38,1.57,2.33,1.67,2.4,1.69,2.27,1.61
15,Rio de Janeiro,Rio Open,21/2/2017,ATP500,Outdoor,Clay,1st Round,3,Estrella Burgos V.,Pella G.,94,162,604,350,6,2,7,5,,,,,,,2,0,Completed,2.2,1.61,2.2,1.6,,,2.59,1.56,2.6,1.61,2.49,1.53
15,Rio de Janeiro,Rio Open,22/2/2017,ATP500,Outdoor,Clay,1st Round,3,Thiem D.,Tipsarevic J.,8,96,3375,603,6,4,7,5,,,,,,,2,0,Completed,1.25,3.75,1.25,3.5,1.29,3.75,1.28,4.05,1.3,4.05,1.27,3.7
15,Rio de Janeiro,Rio Open,22/2/2017,ATP500,Outdoor,Clay,2nd Round,3,Kicker N.,De Greef A.,123,138,472,421,6,3,6,3,,,,,,,2,0,Completed,1.61,2.2,1.6,2.2,1.62,2.25,,,1.77,2.35,1.67,2.15
15,Rio de Janeiro,Rio Open,22/2/2017,ATP500,Outdoor,Clay,2nd Round,3,Schwartzman D.,Delbonis F.,51,52,865,860,6,4,7,6,,,,,,,2,0,Completed,2.1,1.66,2,1.68,2.1,1.73,2.16,1.78,2.16,1.8,2.08,1.73
15,Rio de Janeiro,Rio Open,22/2/2017,ATP500,Outdoor,Clay,2nd Round,3,Ramos-Vinolas A.,Fognini F.,25,45,1400,955,6,2,6,3,,,,,,,2,0,Completed,2.37,1.53,2.25,1.58,2.38,1.57,2.54,1.58,2.55,1.61,2.38,1.56
15,Rio de Janeiro,Rio Open,22/2/2017,ATP500,Outdoor,Clay,2nd Round,3,Thiem D.,Lajovic D.,8,97,3375,597,6,2,7,5,,,,,,,2,0,Completed,1.16,5,1.2,4,1.22,4.33,1.2,5.23,1.22,5.5,1.19,4.52
15,Rio de Janeiro,Rio Open,23/2/2017,ATP500,Outdoor,Clay,2nd Round,3,Carreno Busta P.,Estrella Burgos V.,24,94,1495,604,6,2,4,6,6,2,,,,,2,1,Completed,1.2,4.33,1.2,3.9,1.25,4,1.21,5,1.25,5,1.21,4.38
15,Rio de Janeiro,Rio Open,23/2/2017,ATP500,Outdoor,Clay,2nd Round,3,Dolgopolov O.,Zeballos H.,50,73,875,686,7,6,4,6,6,4,,,,,2,1,Completed,1.36,3,1.33,2.9,1.4,3,1.47,2.93,1.49,3.25,1.4,2.9
15,Rio de Janeiro,Rio Open,23/2/2017,ATP500,Outdoor,Clay,2nd Round,3,Ruud C.,Carballes Baena R.,208,132,258,446,6,7,6,4,7,6,,,,,2,1,Completed,2.5,1.5,2.45,1.48,2.38,1.57,2.53,1.59,2.58,1.59,2.42,1.55
15,Rio de Janeiro,Rio Open,24/2/2017,ATP500,Outdoor,Clay,2nd Round,3,Monteiro T.,Bellucci T.,85,76,645,676,7,6,3,6,6,3,,,,,2,1,Completed,3,1.36,2.65,1.42,3,1.4,3.14,1.42,3.15,1.42,3,1.38
15,Rio de Janeiro,Rio Open,24/2/2017,ATP500,Outdoor,Clay,Quarterfinals,3,Ramos-Vinolas A.,Kicker N.,25,123,1400,472,6,2,6,3,,,,,,,2,0,Completed,1.2,4.33,1.22,3.8,1.25,3.75,1.26,4.43,1.26,4.55,1.23,4.1
15,Rio de Janeiro,Rio Open,24/2/2017,ATP500,Outdoor,Clay,Quarterfinals,3,Thiem D.,Schwartzman D.,8,51,3375,865,6,2,6,3,,,,,,,2,0,Completed,1.33,3.25,1.33,3,1.4,3,1.38,3.39,1.4,3.4,1.34,3.18
15,Rio de Janeiro,Rio Open,24/2/2017,ATP500,Outdoor,Clay,Quarterfinals,3,Carreno Busta P.,Dolgopolov O.,24,50,1495,875,7,6,6,7,1,0,,,,,1,1,Retired,1.66,2.1,1.75,1.9,1.8,2,1.76,2.22,1.83,2.22,1.74,2.07
15,Rio de Janeiro,Rio Open,24/2/2017,ATP500,Outdoor,Clay,Quarterfinals,3,Ruud C.,Monteiro T.,208,85,258,645,6,2,7,6,,,,,,,2,0,Completed,2.75,1.4,2.65,1.4,3,1.4,2.96,1.47,3,1.47,2.84,1.42
15,Rio de Janeiro,Rio Open,25/2/2017,ATP500,Outdoor,Clay,Semifinals,3,Thiem D.,Ramos-Vinolas A.,8,25,3375,1400,6,1,6,4,,,,,,,2,0,Completed,1.33,3.4,1.35,2.9,1.4,3,1.38,3.4,1.4,3.45,1.36,3.12
15,Rio de Janeiro,Rio Open,25/2/2017,ATP500,Outdoor,Clay,Semifinals,3,Carreno Busta P.,Ruud C.,24,208,1495,258,2,6,7,5,6,0,,,,,2,1,Completed,1.28,3.75,1.25,3.3,1.29,3.75,1.29,4.14,1.31,4.55,1.27,3.75
15,Rio de Janeiro,Rio Open,26/2/2017,ATP500,Outdoor,Clay,The Final,3,Thiem D.,Carreno Busta P.,8,24,3375,1495,7,5,6,4,,,,,,,2,0,Completed,1.25,4,1.22,3.8,1.25,4,1.29,4.14,1.3,4.14,1.26,3.8
